unique_id,ground_truth,inferred_value,data,created_at
04c54740-b19a-4634-8289-417512aef465,79,barn_spider,<memory at 0x7f42be804580>,46:33.7
1bf05637-3c56-45ef-8d93-e6c3f244672f,53,nipple,<memory at 0x7f42be804640>,46:33.8
1bf05637-3c56-45ef-8d93-e6c3f244672f,23,wing,<memory at 0x7f42be804700>,46:33.7
9e1fb109-1b26-4286-8506-b51f2aa48218,19,oxcart,<memory at 0x7f42be8047c0>,46:33.7
eb1e3d68-fa70-4581-b045-3d1e58499d88,46,pick,<memory at 0x7f42be804880>,46:33.8
9e1fb109-1b26-4286-8506-b51f2aa48218,62,rock_beauty,<memory at 0x7f42be804940>,48:40.9
9e1fb109-1b26-4286-8506-b51f2aa48218,79,barn_spider,<memory at 0x7f42be804a00>,46:33.8
04c54740-b19a-4634-8289-417512aef465,81,thresher,<memory at 0x7f42be804ac0>,48:40.9
c629063e-f918-4b1a-99ed-0df11cb5331b,41,croquet_ball,<memory at 0x7f42be804b80>,10:18.9
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,20,folding_chair,<memory at 0x7f42be804c40>,10:20.0
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,54,ant,<memory at 0x7f42be804d00>,10:19.0
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,8,moped,<memory at 0x7f42be804dc0>,10:33.0
892470cc-e2e3-4f4c-a2a3-f673e3855919,20,studio_couch,<memory at 0x7f42be804e80>,10:19.2
04c54740-b19a-4634-8289-417512aef465,94,shoe_shop,<memory at 0x7f42be804f40>,46:33.9
1bf05637-3c56-45ef-8d93-e6c3f244672f,85,thresher,<memory at 0x7f42be805000>,46:34.0
04c54740-b19a-4634-8289-417512aef465,94,ski,<memory at 0x7f42be8050c0>,46:34.0
1bf05637-3c56-45ef-8d93-e6c3f244672f,52,pot,<memory at 0x7f42be805180>,46:34.0
9e1fb109-1b26-4286-8506-b51f2aa48218,47,lakeside,<memory at 0x7f42be805240>,46:34.0
04c54740-b19a-4634-8289-417512aef465,25,throne,<memory at 0x7f42be805300>,46:34.1
eb1e3d68-fa70-4581-b045-3d1e58499d88,36,fox_squirrel,<memory at 0x7f42be8053c0>,46:34.1
2df87f9f-90c5-45e2-8f7e-1601d54aca4f,69,projectile,<memory at 0x7f42be805480>,48:24.7
9e1fb109-1b26-4286-8506-b51f2aa48218,19,gong,<memory at 0x7f42be805540>,46:34.2
9e1fb109-1b26-4286-8506-b51f2aa48218,95,dugong,<memory at 0x7f42be805600>,46:34.1
1bf05637-3c56-45ef-8d93-e6c3f244672f,15,sorrel,<memory at 0x7f42be8056c0>,46:34.4
1bf05637-3c56-45ef-8d93-e6c3f244672f,82,daisy,<memory at 0x7f42be805780>,48:24.7
eb1e3d68-fa70-4581-b045-3d1e58499d88,31,Indian_elephant,<memory at 0x7f42be805840>,46:34.3
04c54740-b19a-4634-8289-417512aef465,94,chiffonier,<memory at 0x7f42be805900>,46:34.2
9e1fb109-1b26-4286-8506-b51f2aa48218,58,thresher,<memory at 0x7f42be8059c0>,48:24.7
1bf05637-3c56-45ef-8d93-e6c3f244672f,62,screen,<memory at 0x7f42be805a80>,46:34.2
9e1fb109-1b26-4286-8506-b51f2aa48218,58,moving_van,<memory at 0x7f42be805b40>,46:34.4
eb1e3d68-fa70-4581-b045-3d1e58499d88,89,thresher,<memory at 0x7f42be805c00>,48:24.7
c629063e-f918-4b1a-99ed-0df11cb5331b,20,studio_couch,<memory at 0x7f42be805cc0>,10:19.9
c629063e-f918-4b1a-99ed-0df11cb5331b,60,hartebeest,<memory at 0x7f42be805d80>,10:32.9
a3357ec6-3f64-4265-bddc-476b458f357e,32,Windsor_tie,<memory at 0x7f42be805e40>,27:27.2
892470cc-e2e3-4f4c-a2a3-f673e3855919,72,lion,<memory at 0x7f42be805f00>,10:20.2
892470cc-e2e3-4f4c-a2a3-f673e3855919,41,lawn_mower,<memory at 0x7f42be805fc0>,12:05.5
c629063e-f918-4b1a-99ed-0df11cb5331b,6,cardoon,<memory at 0x7f42be806080>,10:20.8
c629063e-f918-4b1a-99ed-0df11cb5331b,6,cardoon,<memory at 0x7f42be806140>,10:33.9
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,45,barn_spider,<memory at 0x7f42be806200>,10:20.9
892470cc-e2e3-4f4c-a2a3-f673e3855919,29,triceratops,<memory at 0x7f42be8062c0>,10:34.2
c629063e-f918-4b1a-99ed-0df11cb5331b,85,thresher,<memory at 0x7f42be806380>,12:06.1
9e1fb109-1b26-4286-8506-b51f2aa48218,35,komondor,<memory at 0x7f42be806440>,48:24.8
892470cc-e2e3-4f4c-a2a3-f673e3855919,91,nipple,<memory at 0x7f42be806500>,10:21.2
892470cc-e2e3-4f4c-a2a3-f673e3855919,88,tiger,<memory at 0x7f42be8065c0>,10:23.2
c629063e-f918-4b1a-99ed-0df11cb5331b,70,thresher,<memory at 0x7f42be806680>,10:21.9
a98f6906-34ef-4a3c-b30f-622b7fd9874c,99,goldfish,<memory at 0x7f42be806740>,06:49.2
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,54,screen,<memory at 0x7f42be806800>,10:22.0
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,32,snail,<memory at 0x7f42be8068c0>,27:27.9
c629063e-f918-4b1a-99ed-0df11cb5331b,29,thresher,<memory at 0x7f42be806980>,10:23.8
892470cc-e2e3-4f4c-a2a3-f673e3855919,80,mongoose,<memory at 0x7f42be806a40>,10:22.1
3a32cb72-d620-45c9-814c-7a41ecd7c64d,77,lesser_panda,<memory at 0x7f42be806b00>,27:28.2
c629063e-f918-4b1a-99ed-0df11cb5331b,25,oil_filter,<memory at 0x7f42be806bc0>,10:22.7
a3357ec6-3f64-4265-bddc-476b458f357e,58,safety_pin,<memory at 0x7f42be806c80>,27:28.2
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,54,velvet,<memory at 0x7f42be806d40>,10:22.9
b3502f80-e47f-4fee-9111-b8927f2c607e,97,polecat,<memory at 0x7f42be806e00>,06:52.5
a98f6906-34ef-4a3c-b30f-622b7fd9874c,70,black_grouse,<memory at 0x7f42be806ec0>,06:52.3
a98f6906-34ef-4a3c-b30f-622b7fd9874c,90,container_ship,<memory at 0x7f42be806f80>,06:53.3
436a24b7-7348-4bf5-9ccc-e4da222fa891,43,lion,<memory at 0x7f42be807040>,06:52.7
71c6fafd-cbb4-4a03-ab61-1f4582bc170c,35,Japanese_spaniel,<memory at 0x7f42be807100>,06:52.4
ca7700a1-ea73-4d67-84b4-efb99f1d4449,34,lesser_panda,<memory at 0x7f42be8071c0>,06:52.9
eb1e3d68-fa70-4581-b045-3d1e58499d88,77,tick,<memory at 0x7f42be807280>,48:41.0
1bf05637-3c56-45ef-8d93-e6c3f244672f,27,velvet,<memory at 0x7f42be807340>,48:41.0
1bf05637-3c56-45ef-8d93-e6c3f244672f,98,cloak,<memory at 0x7f42be807400>,48:24.8
2df87f9f-90c5-45e2-8f7e-1601d54aca4f,59,planetarium,<memory at 0x7f42be8074c0>,48:41.0
04c54740-b19a-4634-8289-417512aef465,18,vine_snake,<memory at 0x7f42be807580>,48:41.0
1bf05637-3c56-45ef-8d93-e6c3f244672f,32,snow_leopard,<memory at 0x7f42be807640>,48:41.0
9e1fb109-1b26-4286-8506-b51f2aa48218,83,strawberry,<memory at 0x7f42be807700>,48:41.0
eb1e3d68-fa70-4581-b045-3d1e58499d88,93,platypus,<memory at 0x7f42be8077c0>,48:41.1
2df87f9f-90c5-45e2-8f7e-1601d54aca4f,75,skunk,<memory at 0x7f42be807880>,48:41.1
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,20,folding_chair,<memory at 0x7f42be807940>,10:24.0
b3502f80-e47f-4fee-9111-b8927f2c607e,60,hartebeest,<memory at 0x7f42be807a00>,06:50.4
892470cc-e2e3-4f4c-a2a3-f673e3855919,50,polecat,<memory at 0x7f42be807ac0>,10:24.1
c629063e-f918-4b1a-99ed-0df11cb5331b,85,thresher,<memory at 0x7f42be807b80>,10:24.8
ca7700a1-ea73-4d67-84b4-efb99f1d4449,99,nematode,<memory at 0x7f42be807c40>,06:50.9
9e1fb109-1b26-4286-8506-b51f2aa48218,50,fox_squirrel,<memory at 0x7f42be807d00>,48:41.1
1bf05637-3c56-45ef-8d93-e6c3f244672f,17,thresher,<memory at 0x7f42be807dc0>,48:41.1
892470cc-e2e3-4f4c-a2a3-f673e3855919,29,red_fox,<memory at 0x7f42be807e80>,10:28.2
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,60,space_shuttle,<memory at 0x7f42be807f40>,27:28.2
892470cc-e2e3-4f4c-a2a3-f673e3855919,75,Madagascar_cat,<memory at 0x7f42be810040>,10:30.2
c629063e-f918-4b1a-99ed-0df11cb5331b,50,Persian_cat,<memory at 0x7f42be810100>,10:28.9
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,47,thresher,<memory at 0x7f42be8101c0>,27:30.0
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,54,daisy,<memory at 0x7f42be810280>,10:29.0
c629063e-f918-4b1a-99ed-0df11cb5331b,75,skunk,<memory at 0x7f42be810340>,10:30.8
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,33,indri,<memory at 0x7f42be810400>,27:29.1
892470cc-e2e3-4f4c-a2a3-f673e3855919,88,punching_bag,<memory at 0x7f42be8104c0>,10:29.3
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,28,whiskey_jug,<memory at 0x7f42be810580>,10:30.9
c629063e-f918-4b1a-99ed-0df11cb5331b,41,chain_saw,<memory at 0x7f42be810640>,10:29.8
a3357ec6-3f64-4265-bddc-476b458f357e,16,sunscreen,<memory at 0x7f42be810700>,27:29.3
892470cc-e2e3-4f4c-a2a3-f673e3855919,66,wire-haired_fox_terrier,<memory at 0x7f42be8107c0>,10:31.2
a3357ec6-3f64-4265-bddc-476b458f357e,30,dugong,<memory at 0x7f42be810880>,27:30.1
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,48,barrel,<memory at 0x7f42be810940>,10:29.9
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,53,remote_control,<memory at 0x7f42be810a00>,27:29.3
c629063e-f918-4b1a-99ed-0df11cb5331b,2,Windsor_tie,<memory at 0x7f42be810ac0>,10:31.9
3a32cb72-d620-45c9-814c-7a41ecd7c64d,28,eggnog,<memory at 0x7f42be810b80>,27:30.2
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,66,lion,<memory at 0x7f42be810c40>,10:32.0
3a32cb72-d620-45c9-814c-7a41ecd7c64d,82,daisy,<memory at 0x7f42be810d00>,27:29.3
892470cc-e2e3-4f4c-a2a3-f673e3855919,1,chain_saw,<memory at 0x7f42be810dc0>,10:32.2
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,29,frilled_lizard,<memory at 0x7f42be810e80>,10:43.0
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,69,yawl,<memory at 0x7f42be810f40>,10:34.0
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,46,jersey,<memory at 0x7f42be811000>,27:31.9
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,98,Sealyham_terrier,<memory at 0x7f42be8110c0>,27:30.1
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,76,schooner,<memory at 0x7f42be811180>,27:34.1
a3357ec6-3f64-4265-bddc-476b458f357e,63,fox_squirrel,<memory at 0x7f42be811240>,27:35.2
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,92,pot,<memory at 0x7f42be811300>,27:31.1
a3357ec6-3f64-4265-bddc-476b458f357e,42,leopard,<memory at 0x7f42be8113c0>,27:31.3
a3357ec6-3f64-4265-bddc-476b458f357e,56,dugong,<memory at 0x7f42be811480>,27:32.2
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,73,dugong,<memory at 0x7f42be811540>,27:35.9
3a32cb72-d620-45c9-814c-7a41ecd7c64d,48,moped,<memory at 0x7f42be811600>,27:32.2
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,9,lotion,<memory at 0x7f42be8116c0>,27:31.3
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,45,sidewinder,<memory at 0x7f42be811780>,27:33.2
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,32,whistle,<memory at 0x7f42be811840>,27:37.0
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,73,goldfish,<memory at 0x7f42be811900>,27:34.3
3a32cb72-d620-45c9-814c-7a41ecd7c64d,96,komondor,<memory at 0x7f42be8119c0>,27:31.3
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,63,frilled_lizard,<memory at 0x7f42be811a80>,27:32.9
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,53,croquet_ball,<memory at 0x7f42be811b40>,27:34.9
a3357ec6-3f64-4265-bddc-476b458f357e,3,sloth_bear,<memory at 0x7f42be811c00>,27:33.2
a3357ec6-3f64-4265-bddc-476b458f357e,3,otterhound,<memory at 0x7f42be811cc0>,27:34.3
3a32cb72-d620-45c9-814c-7a41ecd7c64d,96,thresher,<memory at 0x7f42be811d80>,27:35.2
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,57,maraca,<memory at 0x7f42be811e40>,27:36.2
3a32cb72-d620-45c9-814c-7a41ecd7c64d,94,chiffonier,<memory at 0x7f42be811f00>,27:33.2
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,17,panpipe,<memory at 0x7f42be811fc0>,27:35.2
a3357ec6-3f64-4265-bddc-476b458f357e,55,lion,<memory at 0x7f42be812080>,27:37.1
3a32cb72-d620-45c9-814c-7a41ecd7c64d,17,worm_fence,<memory at 0x7f42be812140>,27:34.3
3a32cb72-d620-45c9-814c-7a41ecd7c64d,77,croquet_ball,<memory at 0x7f42be812200>,27:36.2
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,85,amphibian,<memory at 0x7f42be8122c0>,27:37.9
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,89,thresher,<memory at 0x7f42be812380>,27:37.3
a3357ec6-3f64-4265-bddc-476b458f357e,32,patas,<memory at 0x7f42be812440>,27:36.2
3a32cb72-d620-45c9-814c-7a41ecd7c64d,73,grey_whale,<memory at 0x7f42be812500>,27:37.3
3a32cb72-d620-45c9-814c-7a41ecd7c64d,0,punching_bag,<memory at 0x7f42be8125c0>,27:38.2
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,66,Madagascar_cat,<memory at 0x7f42be812680>,27:38.2
a3357ec6-3f64-4265-bddc-476b458f357e,40,ocarina,<memory at 0x7f42be812740>,27:38.2
