Producer,total_inferences,wrong_inferences,error_percentage
04c54740-b19a-4634-8289-417512aef465,1835,80,4.35967302452316
191fbfaf-88bd-46c6-9e7c-b4957b75b3f5,727,43,5.914718019257221
1bf05637-3c56-45ef-8d93-e6c3f244672f,1818,84,4.62046204620462
2df87f9f-90c5-45e2-8f7e-1601d54aca4f,1763,85,4.821327283040272
3a32cb72-d620-45c9-814c-7a41ecd7c64d,729,30,4.11522633744856
436a24b7-7348-4bf5-9ccc-e4da222fa891,883,59,6.681766704416761
661f24ac-c1e5-4aad-89bd-55f9aaa8ab0e,727,28,3.851444291609354
71c6fafd-cbb4-4a03-ab61-1f4582bc170c,882,52,5.895691609977324
892470cc-e2e3-4f4c-a2a3-f673e3855919,442,22,4.97737556561086
9e1fb109-1b26-4286-8506-b51f2aa48218,1828,80,4.3763676148796495
a3357ec6-3f64-4265-bddc-476b458f357e,724,29,4.005524861878453
a98f6906-34ef-4a3c-b30f-622b7fd9874c,888,41,4.617117117117117
b3502f80-e47f-4fee-9111-b8927f2c607e,890,42,4.719101123595506
c629063e-f918-4b1a-99ed-0df11cb5331b,445,25,5.617977528089887
ca7700a1-ea73-4d67-84b4-efb99f1d4449,888,43,4.842342342342342
eb1e3d68-fa70-4581-b045-3d1e58499d88,1831,73,3.986892408519935
fe0307ae-ff7d-4f87-a3e8-37d0f39848da,448,16,3.571428571428571
